Name,Date,Time,Location,Topic
"
                                        
                                    Committee on Fire and Criminal Justice Services",6/12/2014,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Committee on Health and the Committee on Mental Health, Developmental Disability, Alcoholism, Substance Abuse and Disability Services","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Health",6/12/2014,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Committee on Fire and Criminal Justice Services and the Committee on Mental Health, Developmental Disability, Alcoholism, Substance Abuse and Disability Services",Oversight – Examination of Violence and the Provision of Mental Health and Medical Services in New York City Jails
"
                                        
                                    Committee on Mental Health, Developmental Disability, Alcoholism, Substance Abuse and Disability Services",6/12/2014,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Committee on Fire and Criminal Justice Services and the Committee on Health",Oversight – Examination of Violence and the Provision of Mental Health and Medical Services in New York City Jails
"
                                        
                                    Committee on Environmental Protection",6/12/2014,"
                                        1:00 PM
                                    ",Committee Room - City HallJointly with the Committee on Waterfronts,Oversight - The Rahway Arch Project's Potential Impact on Staten Island: Will Staten Island's Shoreline be Safe?
"
                                        
                                    Committee on Waterfronts",6/12/2014,"
                                        1:00 PM
                                    ",Committee Room - City HallJointly with the Committee on Environmental Protection,Oversight - The Rahway Arch Project's Potential Impact on Staten Island: Will Staten Island's Shoreline be Safe?
"
                                        
                                    Committee on Housing and Buildings",6/12/2014,"
                                        Deferred
                                    ",Council Chambers - City HallJointly with the Committee on Community Development, 
"
                                        
                                    Committee on Community Development",6/12/2014,"
                                        Deferred
                                    ",Council Chambers - City HallJointly with the Committee on Housing and Buildings, 
"
                                        
                                    Committee on Higher Education",6/12/2014,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.",Oversight – Merit and Need Based Scholarships at CUNY.
"
                                        
                                    Committee on Education",6/12/2014,"
                                        10:00 AM
                                    ",Council Chambers - City Hall,Avonte’s Law - Requiring DOE to equip all exit doors with an alarm system in all elementary school buildings and buildings accommodating district 75 programs.
"
                                        
                                    City Council Stated Meeting",6/11/2014,"
                                        1:30 PM
                                    ",Council Chambers - City Hall,"Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Rules, Privileges and Elections",6/11/2014,"
                                        10:30 AM
                                    ","Council Chambers - City HallContinuation of the May 23, 2014 - Recessed Meeting","Meenakshi Srinivasan, Landmarks Preservation Commission"
"
                                        
                                    Committee on Finance",6/11/2014,"
                                        10:00 AM
                                    ",Committee Room - City Hall,"Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Education",6/11/2014,"
                                        10:00 AM
                                    ",Council Chambers - City Hall,Requiring the department of education to report academic and demographic information on co-located schools.
"
                                        
                                    Committee on Parks and Recreation",6/10/2014,"
                                        Deferred
                                    ",Council Chambers - City HallJointly with the Committee on Recovery and Resiliency,"Multiple meeting items, please see Meeting Details for more information"
