Name,Date,Time,Location,Topic
"
                                        
                                    Committee on Veterans",12/5/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Commmittee on Mental Health, Mental Retardation, Alcoholism, Drug Abuse and Disability Services","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Mental Health, Developmental Disability, Alcoholism, Substance Abuse and Disability Services",12/5/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Commmittee on Veterans","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Juvenile Justice",12/5/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Women's Issues and the Committee on Youth Services",Oversight - Implementation of the Safe Harbor Act.
"
                                        
                                    Committee on Women's Issues",12/5/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Juvenile Justice and the Committee on Youth Services",Oversight - Implementation of the Safe Harbor Act.
"
                                        
                                    Committee on Youth Services",12/5/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Women's Issues and the Committee on Juvenile Justice",Oversight - Implementation of the Safe Harbor Act.
"
                                        
                                    Subcommittee on Planning, Dispositions and Concessions",12/1/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 16th Fl.", 
"
                                        
                                    Subcommittee on Landmarks, Public Siting and Maritime Uses",12/1/2011,"
                                        11:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Subcommittee on Zoning and Franchises",12/1/2011,"
                                        9:30 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Civil Service and Labor",11/30/2011,"
                                        3:00 PM
                                    ","CUNY Murphy Institute
25 West 43rd Street
New York, N.Y.Jointly with the Committee on Higher Education",Tour:  CUNY Murphy Institute
"
                                        
                                    Committee on Higher Education",11/30/2011,"
                                        3:00 PM
                                    ","CUNY Murphy Institute
25 West 43rd Street
New York, N.Y.Jointly with the Committee on Civil Service and Labor",Tour:  CUNY Murphy Institute
"
                                        
                                    Committee on Parks and Recreation",11/30/2011,"
                                        Deferred
                                    ","250 Broadway - Hearing Rm, 16th Fl.", 
"
                                        
                                    Committee on Education",11/30/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.",Oversight - Department of Education’s School Suspension Data
"
                                        
                                    Committee on Sanitation and Solid Waste Management",11/30/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Public Safety",Oversight - Winter Weather in NYC - Are We Prepared?  Analyzing DSNY's Annual Borough-Based Winter Storm Plans and OEM's Citywide Snow Preparedness and Response Report
"
                                        
                                    Committee on Women's Issues",11/30/2011,"
                                        1:00 PM
                                    ","Rose M. Singer Center (RMSC)
19-19 Hazen Street
East Elmhurst, NY  11370",Tour:  Rose M. Singer Center (RMSC)
"
                                        
                                    Committee on Public Safety",11/30/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Sanitation and Solid Waste Management",Oversight - Winter Weather in NYC - Are We Prepared?  Analyzing DSNY's Annual Borough-Based Winter Storm Plans and OEM's Citywide Snow Preparedness and Response Report
"
                                        
                                    Committee on Waterfronts",11/30/2011,"
                                        11:00 AM
                                    ","250 Broadway - Hearing Rm, 16th Fl.Jointly with the Committee on Lower Manhattan Redevelopment",Oversight - Update on Governors Island
"
                                        
                                    Committee on Consumer Affairs",11/30/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 14th Fl.",AGENDA TO BE ANNOUNCED
"
                                        
                                    Committee on Aging",11/30/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Committee on Housing and Buildings",Oversight – Examining How Existing and New Residential Housing Can Meet the Needs of Older New Yorkers.
"
                                        
                                    Committee on Cultural Affairs, Libraries and International Intergroup Relations",11/30/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 14th Fl.",Requiring various agencies to distribute information on how to obtain a library card.
"
                                        
                                    Committee on Housing and Buildings",11/30/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Committee on Aging",Oversight – Examining How Existing and New Residential Housing Can Meet the Needs of Older New Yorkers.
"
                                        
                                    City Council Stated Meeting",11/29/2011,"
                                        1:30 PM
                                    ",Emigrant Savings Bank - 49-51 Chambers Street,"Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on General Welfare",11/29/2011,"
                                        10:30 AM
                                    ","250 Broadway - Committee Rm, 14th Fl.",Set forth new standards by which DHS Single Adult Intake facilities would determine whether individuals who apply for Temporary Housing Assistance are eligible for temporary emergency shelter.
"
                                        
                                    Committee on Finance",11/29/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Finance",11/28/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 16th Fl.",AGENDA TO BE ANNOUNCED
"
                                        
                                    Committee on Small Business",11/28/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Economic Development",Oversight - Industrial Business Zones and Retaining Small Manufacturing Businesses.
"
                                        
                                    Committee on Economic Development",11/28/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Small Business",Oversight - Industrial Business Zones and Retaining Small Manufacturing Businesses.
"
                                        
                                    Committee on Civil Service and Labor",11/28/2011,"
                                        Deferred
                                    ","250 Broadway - Hearing Rm, 16th Fl.",AGENDA TO BE ANNOUNCED
"
                                        
                                    Committee on Juvenile Justice",11/28/2011,"
                                        1:00 PM
                                    ","250 Broadway - Hearing Rm, 16th Fl.",Raising the age of criminal responsibility for nonviolent offenses to 18.
"
                                        
                                    Committee on Transportation",11/28/2011,"
                                        12:00 PM
                                    ","250 Broadway - Hearing Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Housing and Buildings",11/28/2011,"
                                        11:45 AM
                                    ","250 Broadway - Hearing Rm, 14th Fl.",Penalties for violation of the heat and hot water requirements of the housing maintenance code.
"
                                        
                                    Committee on Governmental Operations",11/28/2011,"
                                        11:30 AM
                                    ","250 Broadway - Committee Rm, 14th Fl.",Require that paper ballots be designed in a more user-friendly manner.
"
                                        
                                    Committee on Community Development",11/28/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 14th Fl.",AGENDA TO BE ANNOUNCED
"
                                        
                                    Committee on Small Business",11/28/2011,"
                                        10:00 AM
                                    ","Garment Center Industrial Business 
Zone / Industrial Ombudsman Area
318 West 39th Street
4th Floor
New York, N.Y.Jointly with the Committee on Economic Development",Tour:  Garment Center Industrial Business Zone / Industrial Ombudsman Area
"
                                        
                                    Committee on Economic Development",11/28/2011,"
                                        10:00 AM
                                    ","Garment Center Industrial Business 
Zone / Industrial Ombudsman Area
318 West 39th Street
4th Floor
New York, N.Y.Jointly with the Committee on Small Business",Tour:  Garment Center Industrial Business Zone / Industrial Ombudsman Area
"
                                        
                                    Committee on Immigration",11/23/2011,"
                                        10:30 AM
                                    ","Medina Clinic at Harlem Hospital Center
506 Lenox Avenue 
  (at West 136th Street)
New York, N.Y. 10037Jointly with the Committee on Civil Rights",Tour:  Medina Clinic at Harlem Hospital Center
"
                                        
                                    Committee on Civil Rights",11/23/2011,"
                                        10:30 AM
                                    ","Medina Clinic at Harlem Hospital Center
506 Lenox Avenue 
   (at West 136th Street)
New York, N.Y. 10037Jointly with the Committee on Immigration",Tour:  Medina Clinic at Harlem Hospital Center
"
                                        
                                    Committee on Consumer Affairs",11/23/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 14th Fl.",Bicycle parking in garages and parking lots.
"
                                        
                                    Committee on Contracts",11/22/2011,"
                                        1:00 PM
                                    ",Emigrant Savings Bank - 49-51 Chambers Street,Requiring the payment of a living wage to employees employed on property developed by recipients of financial assistance for economic development.
"
                                        
                                    Committee on Environmental Protection",11/22/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 14th Fl.", 
"
                                        
                                    Committee on Community Development",11/22/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 16th Fl.",AGENDA TO BE ANNOUNCED
"
                                        
                                    Committee on Public Housing",11/22/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 14th Fl.",Oversight - NYCHA’s Emergency Preparedness Initiatives
"
                                        
                                    Committee on Small Business",11/22/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Committee on Economic Development",Oversight - Industrial Business Zones and Retaining Small Manufacturing Businesses.
"
                                        
                                    Committee on Economic Development",11/22/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Committee on Small Business",Oversight - Industrial Business Zones and Retaining Small Manufacturing Businesses.
"
                                        
                                    Committee on Technology",11/22/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.",Oversight - The Mayor’s Office of Media and Entertainment
"
                                        
                                    Committee on Women's Issues",11/21/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 14th Fl.", 
"
                                        
                                    Committee on General Welfare",11/21/2011,"
                                        1:00 PM
                                    ",Emigrant Savings Bank - 49-51 Chambers StreetJointly with the Committee on Community Development,"Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Civil Service and Labor",11/21/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 14th Fl.",AGENDA TO BE ANNOUNCED
"
                                        
                                    Committee on Community Development",11/21/2011,"
                                        1:00 PM
                                    ",Emigrant Savings Bank - 49-51 Chambers StreetJointly with the Committee on General Welfare,"Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Immigration",11/21/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 14th Fl.", 
"
                                        
                                    Committee on Education",11/18/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Mental Health, Developmental Disability, Alcoholism, Substance Abuse and Disability Services",11/18/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Subcommittee on Drug Abuse","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Subcommittee on Drug Abuse",11/18/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Committee on Committee on Mental Health, Mental Retardation, Alcoholism, Drug Abuse and Disability Services","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Civil Rights",11/18/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 14th Fl.",AGENDA TO BE ANNOUNCED
"
                                        
                                    Committee on Cultural Affairs, Libraries and International Intergroup Relations",11/17/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 14th Fl.", 
"
                                        
                                    Committee on Fire and Criminal Justice Services",11/17/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.",Oversight: Examining the New York City Department of Correction’s Strategic Plan.
"
                                        
                                    Committee on Land Use",11/17/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Subcommittee on Zoning and Franchises",11/16/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Subcommittee on Planning, Dispositions and Concessions",11/16/2011,"
                                        1:00 PM
                                    ","250 Broadway - Hearing Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Housing and Buildings",11/16/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 14th Fl.", 
"
                                        
                                    Subcommittee on Landmarks, Public Siting and Maritime Uses",11/16/2011,"
                                        11:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.","Landmarks, 750 seat Primary/Intermediate School Facility, (Block 5321, Lots 44, 64 and 73), CD# 39, Brooklyn (20115470SCK)"
"
                                        
                                    Committee on Transportation",11/16/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 14th Fl.", 
"
                                        
                                    Committee on Aging",11/15/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 16th Fl.",AGENDA TO BE ANNOUNCED
"
                                        
                                    Committee on Community Development",11/15/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 16th Fl.",AGENDA TO BE ANNOUNCED
"
                                        
                                    Committee on Higher Education",11/15/2011,"
                                        Deferred
                                    ","250 Broadway - Hearing Rm, 16th Fl.", 
"
                                        
                                    Committee on Finance",11/15/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 16th Fl.",AGENDA TO BE ANNOUNCED
"
                                        
                                    Committee on Parks and Recreation",11/15/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Public Safety", 
"
                                        
                                    Committee on Public Safety",11/15/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Parks and Recreation",Oversight – Examining Public Safety in City Parks.
"
                                        
                                    Committee on Governmental Operations",11/14/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Committee on Finance",Oversight - Evaluating the Mayor’s Management Report
"
                                        
                                    Committee on Finance",11/14/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Committee on Governmental Operations",Oversight - Evaluating the Mayor’s Management Report
"
                                        
                                    Committee on Environmental Protection",11/14/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 14th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Civil Rights",11/14/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 14th Fl.",AGENDA TO BE ANNOUNCED
"
                                        
                                    Committee on Health",11/10/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on General Welfare",Oversight - Coordination between the Department of Health and the Administration for Children’s Services when inspecting and monitoring child care centers in New York City.
"
                                        
                                    Committee on General Welfare",11/10/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Health",Oversight - Coordination between the Department of Health and the Administration for Children’s Services when inspecting and monitoring child care centers in New York City.
"
                                        
                                    Committee on General Welfare",11/9/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.",Oversight: New Homeless Shelter Eligibility Process for Single Adults
"
                                        
                                    Committee on Technology",11/9/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 16th Fl.",AGENDA TO BE ANNOUNCED
"
                                        
                                    Committee on Veterans",11/7/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on General Welfare",Oversight - Veteran Homelessness
"
                                        
                                    Committee on General Welfare",11/7/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Veterans",Oversight - Veteran Homelessness
"
                                        
                                    Committee on Economic Development",11/7/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 14th Fl.", 
"
                                        
                                    City Council Stated Meeting",11/3/2011,"
                                        1:30 PM
                                    ",Emigrant Savings Bank - 49-51 Chambers Street,"Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Rules, Privileges and Elections",11/3/2011,"
                                        10:30 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.","Kenneth J. Knuckles, City Planning Commission"
"
                                        
                                    Committee on Finance",11/3/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Finance",11/2/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Committee on Youth Services",Oversight: Examining the Implementation of the Young Men’s Initiative.
"
                                        
                                    Committee on Youth Services",11/2/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Committee on Finance",Oversight: Examining the Implementation of the Young Men’s Initiative.
"
                                        
                                    Committee on Immigration",11/2/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 14th Fl.",Persons not to be detained.
"
                                        
                                    Committee on State and Federal Legislation",11/2/2011,"
                                        10:30 AM
                                    ","250 Broadway - Committee Rm, 14th Fl.",Authorizing a residential parking permit system in the city of New York. (S.2325/A.4266)
"
                                        
                                    Committee on Housing and Buildings",11/2/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.",Oversight – The Loft Board: Its Functions and Responsibilities.
"
                                        
                                    Committee on Technology",11/2/2011,"
                                        10:00 AM
                                    ","250 Broadway - Hearing Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Transportation",11/1/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 14th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Education",11/1/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 16th Fl.",AGENDA TO BE ANNOUNCED
"
                                        
                                    Committee on Juvenile Justice",11/1/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 14th Fl.",Raising the age of criminal responsibility for nonviolent offenses to 18.
"
                                        
                                    Committee on Land Use",11/1/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Finance",10/31/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 16th Fl.",AGENDA TO BE ANNOUNCED
"
                                        
                                    Committee on Transportation",10/31/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Committee on Civil Service and Labor",Oversight: Ensuring the Safety of Transit Workers
"
                                        
                                    Committee on Civil Service and Labor",10/31/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Committee on Transportation",Oversight: Ensuring the Safety of Transit Workers
"
                                        
                                    Committee on Juvenile Justice",10/31/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Cultural Affairs, Libraries and International Intergroup Relations","Oversight: A Review of Programs Offered by Cultural Institutions and Libraries to Incarcerated Populations, Ex-Offenders, and Youth Involved in the Juvenile Justice System."
"
                                        
                                    Committee on Cultural Affairs, Libraries and International Intergroup Relations",10/31/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Juvenile Justice","Oversight: A Review of Programs Offered by Cultural Institutions and Libraries to Incarcerated Populations, Ex-Offenders, and Youth Involved in the Juvenile Justice System."
"
                                        
                                    Committee on Civil Rights",10/31/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Committee on Mental Health, Mental Retardation, Alcoholism, Drug Abuse and Disability Services",Oversight: Access to New York City Businesses for Persons with Disabilities.
"
                                        
                                    Committee on Parks and Recreation",10/31/2011,"
                                        10:00 AM
                                    ","250 Broadway - Hearing Rm, 16th Fl.Jointly with the Committee on Lower Manhattan Redevelopment",Oversight - Status of Parkland Redevelopment in Lower Manhattan
"
                                        
                                    Committee on Mental Health, Developmental Disability, Alcoholism, Substance Abuse and Disability Services",10/31/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.Jointly with the Committee on Civil Rights",Oversight: Access to New York City Businesses for Persons with Disabilities.
"
                                        
                                    Committee on Contracts",10/31/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Technology","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Technology",10/31/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Contracts","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Small Business",10/31/2011,"
                                        10:00 AM
                                    ","Long Island City Industrial Business Zone 
31-00 47th Avenue (Lobby)
Long Island City, QueensJointly with the Committee on Economic Development",Tour: Long Island City Industrial Business Zone
"
                                        
                                    Committee on Economic Development",10/31/2011,"
                                        10:00 AM
                                    ","Long Island City Industrial Business Zone 
31-00 47th Avenue (Lobby)
Long Island City, QueensJointly with the Committee on Small Business",Tour: Long Island City Industrial Business Zone
"
                                        
                                    Committee on Technology",10/28/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Governmental Operations","DCAS to donate surplus city-owned computers, computer software and computer equipment to public and private institutions for secular educational use and to not-for-profit institutions for use by individuals with disabilities, senior citizens, or low incom"
"
                                        
                                    Committee on Governmental Operations",10/28/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Technology","DCAS to donate surplus city-owned computers, computer software and computer equipment to public and private institutions for secular educational use and to not-for-profit institutions for use by individuals with disabilities, senior citizens, or low incom"
"
                                        
                                    Committee on Public Housing",10/28/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.",Oversight – Improvements and Remaining Challenges to NYCHA’s Section 3 Resident Employment Program.
"
                                        
                                    Committee on Consumer Affairs",10/28/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Aging",10/28/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Subcommittee on Senior Centers",Oversight – Seniors and Technology
"
                                        
                                    Committee on Fire and Criminal Justice Services",10/28/2011,"
                                        10:00 AM
                                    ","250 Broadway - Hearing Rm, 16th Fl.",Oversight - Examining the Operation of Potter's Field by the N.Y.C. Department of Correction on Hart Island.
"
                                        
                                    Subcommittee on Senior Centers",10/28/2011,"
                                        10:00 AM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Aging",Oversight – Seniors and Technology
"
                                        
                                    Committee on Community Development",10/28/2011,"
                                        9:00 AM
                                    ","Urban Assembly Institute of Math and Science for Young Women
283 Adams Street
Brooklyn, N.Y.",Tour: Urban Assembly Institute of Math and Science for Young Women
"
                                        
                                    Committee on Governmental Operations",10/27/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 14th Fl.",Requiring notice to the city council of challenges to local laws.
"
                                        
                                    Subcommittee on Planning, Dispositions and Concessions",10/27/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Subcommittee on Landmarks, Public Siting and Maritime Uses",10/27/2011,"
                                        11:00 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Cultural Affairs, Libraries and International Intergroup Relations",10/27/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 14th Fl.", 
"
                                        
                                    Committee on Housing and Buildings",10/27/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 14th Fl.",Oversight – The Loft Board: Its Functions and Responsibilities.
"
                                        
                                    Subcommittee on Zoning and Franchises",10/27/2011,"
                                        9:30 AM
                                    ","250 Broadway - Committee Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"
                                        
                                    Committee on Education",10/26/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 16th Fl.",AGENDA TO BE ANNOUNCED
"
                                        
                                    Committee on Sanitation and Solid Waste Management",10/26/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 16th Fl.",Oversight - An Overview of Waste-to-Energy Technologies
"
                                        
                                    Committee on Waterfronts",10/26/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Economic Development",Oversight - Sunset Park Waterfront Vision Plan: Status of Economic and Waterfront Developments.
"
                                        
                                    Committee on Economic Development",10/26/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Waterfronts",Oversight - Sunset Park Waterfront Vision Plan: Status of Economic and Waterfront Developments.
"
                                        
                                    Committee on Aging",10/26/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 14th Fl.",AGENDA TO BE ANNOUNCED
"
                                        
                                    Committee on Parks and Recreation",10/26/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 16th Fl.", 
"
                                        
                                    Committee on Consumer Affairs",10/26/2011,"
                                        Deferred
                                    ","250 Broadway - Hearing Rm, 16th Fl.",AGENDA TO BE ANNOUNCED
"
                                        
                                    Committee on Environmental Protection",10/25/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 16th Fl.", 
"
                                        
                                    Committee on Technology",10/25/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on General Welfare","Oversight - Examining Worker Connect, the New Inter-Agency Database at ACS, HRA and DHS."
"
                                        
                                    Committee on General Welfare",10/25/2011,"
                                        1:00 PM
                                    ","250 Broadway - Committee Rm, 14th Fl.Jointly with the Committee on Technology","Oversight - Examining Worker Connect, the New Inter-Agency Database at ACS, HRA and DHS."
"
                                        
                                    Committee on Public Housing",10/25/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 14th Fl.",Oversight – Improvements and Remaining Challenges to NYCHA’s Section 3 Resident Employment Program.
"
                                        
                                    Committee on Finance",10/25/2011,"
                                        Deferred
                                    ","250 Broadway - Committee Rm, 16th Fl.",AGENDA TO BE ANNOUNCED
